Treat,rep,inv.sp,res.sp,res.div,inv.t0,res.t0,inv.count,res.count
40,a,VG,PC.SR,2,26666.66667,2666666.667,120,674
40,b,VG,PC.SR,2,26666.66667,2666666.667,148,732
40,c,VG,PC.SR,2,26666.66667,2666666.667,80,784
40,d,VG,PC.SR,2,26666.66667,2666666.667,132,720
40,e,VG,PC.SR,2,26666.66667,2666666.667,200,628
40,f,VG,PC.SR,2,26666.66667,2666666.667,124,759
41,a,PC,AA.OD,2,26666.66667,2666666.667,122,206
41,b,PC,AA.OD,2,26666.66667,2666666.667,130,192
41,c,PC,AA.OD,2,26666.66667,2666666.667,104,314
41,d,PC,AA.OD,2,26666.66667,2666666.667,44,576
41,e,PC,AA.OD,2,26666.66667,2666666.667,62,358
41,f,PC,AA.OD,2,26666.66667,2666666.667,106,252
42,a,VG,AA.OD,2,26666.66667,2666666.667,60,516
42,b,VG,AA.OD,2,26666.66667,2666666.667,30,302
42,c,VG,AA.OD,2,26666.66667,2666666.667,26,296
42,d,VG,AA.OD,2,26666.66667,2666666.667,46,250
42,e,VG,AA.OD,2,26666.66667,2666666.667,48,542
42,f,VG,AA.OD,2,26666.66667,2666666.667,62,478
43,a,SR,AA.OD,2,26666.66667,2666666.667,218,548
43,b,SR,AA.OD,2,26666.66667,2666666.667,280,372
43,c,SR,AA.OD,2,26666.66667,2666666.667,272,512
43,d,SR,AA.OD,2,26666.66667,2666666.667,240,528
43,e,SR,AA.OD,2,26666.66667,2666666.667,336,472
43,f,SR,AA.OD,2,26666.66667,2666666.667,236,388
44,a,VG,PC.OD,2,26666.66667,2666666.667,190,252
44,b,VG,PC.OD,2,26666.66667,2666666.667,246,218
44,c,VG,PC.OD,2,26666.66667,2666666.667,230,220
44,d,VG,PC.OD,2,26666.66667,2666666.667,166,250
44,e,VG,PC.OD,2,26666.66667,2666666.667,80,230
44,f,VG,PC.OD,2,26666.66667,2666666.667,188,228
45,a,SR,PC.OD,2,26666.66667,2666666.667,554,302
45,b,SR,PC.OD,2,26666.66667,2666666.667,678,370
45,c,SR,PC.OD,2,26666.66667,2666666.667,900,356
45,d,SR,PC.OD,2,26666.66667,2666666.667,588,272
45,e,SR,PC.OD,2,26666.66667,2666666.667,586,244
45,f,SR,PC.OD,2,26666.66667,2666666.667,706,262
46,a,SR,VG.OD,2,26666.66667,2666666.667,312,322
46,b,SR,VG.OD,2,26666.66667,2666666.667,268,312
46,c,SR,VG.OD,2,26666.66667,2666666.667,366,300
46,d,SR,VG.OD,2,26666.66667,2666666.667,122,444
46,e,SR,VG.OD,2,26666.66667,2666666.667,114,484
46,f,SR,VG.OD,2,26666.66667,2666666.667,476,324
47,a,VG,PC.AA,2,26666.66667,2666666.667,70,162
47,b,VG,PC.AA,2,26666.66667,2666666.667,44,184
47,c,VG,PC.AA,2,26666.66667,2666666.667,72,234
47,d,VG,PC.AA,2,26666.66667,2666666.667,72,244
47,e,VG,PC.AA,2,26666.66667,2666666.667,84,260
47,f,VG,PC.AA,2,26666.66667,2666666.667,88,192
48,a,SR,PC.AA,2,26666.66667,2666666.667,818,240
48,b,SR,PC.AA,2,26666.66667,2666666.667,620,314
48,c,SR,PC.AA,2,26666.66667,2666666.667,860,288
48,d,SR,PC.AA,2,26666.66667,2666666.667,518,254
48,e,SR,PC.AA,2,26666.66667,2666666.667,600,262
48,f,SR,PC.AA,2,26666.66667,2666666.667,784,284
49,a,SR,VG.AA,2,26666.66667,2666666.667,468,394
49,b,SR,VG.AA,2,26666.66667,2666666.667,432,82
49,c,SR,VG.AA,2,26666.66667,2666666.667,606,460
49,d,SR,VG.AA,2,26666.66667,2666666.667,508,384
49,e,SR,VG.AA,2,26666.66667,2666666.667,508,324
49,f,SR,VG.AA,2,26666.66667,2666666.667,548,484
50,a,SR,VG.PC,2,26666.66667,2666666.667,650,124
50,b,SR,VG.PC,2,26666.66667,2666666.667,760,186
50,c,SR,VG.PC,2,26666.66667,2666666.667,536,124
50,d,SR,VG.PC,2,26666.66667,2666666.667,478,186
50,e,SR,VG.PC,2,26666.66667,2666666.667,498,88
50,f,SR,VG.PC,2,26666.66667,2666666.667,560,186
51,a,OD,AA.PC.VG,3,26666.66667,2666666.667,62,176
51,b,OD,AA.PC.VG,3,26666.66667,2666666.667,110,176
51,c,OD,AA.PC.VG,3,26666.66667,2666666.667,78,128
51,d,OD,AA.PC.VG,3,26666.66667,2666666.667,120,308
51,e,OD,AA.PC.VG,3,26666.66667,2666666.667,86,240
51,f,OD,AA.PC.VG,3,26666.66667,2666666.667,102,282
52,a,OD,AA.PC.SR,3,26666.66667,2666666.667,48,779
52,b,OD,AA.PC.SR,3,26666.66667,2666666.667,40,1009
52,c,OD,AA.PC.SR,3,26666.66667,2666666.667,60,1079
52,d,OD,AA.PC.SR,3,26666.66667,2666666.667,60,1004
52,e,OD,AA.PC.SR,3,26666.66667,2666666.667,62,821
52,f,OD,AA.PC.SR,3,26666.66667,2666666.667,56,1140
53,a,OD,AA.VG.SR,3,26666.66667,2666666.667,172,488
53,b,OD,AA.VG.SR,3,26666.66667,2666666.667,80,464
53,c,OD,AA.VG.SR,3,26666.66667,2666666.667,196,736
53,d,OD,AA.VG.SR,3,26666.66667,2666666.667,124,490
53,e,OD,AA.VG.SR,3,26666.66667,2666666.667,114,364
53,f,OD,AA.VG.SR,3,26666.66667,2666666.667,128,608
54,a,OD,PC.VG.SR,3,26666.66667,2666666.667,112,1140
54,b,OD,PC.VG.SR,3,26666.66667,2666666.667,56,697
54,c,OD,PC.VG.SR,3,26666.66667,2666666.667,112,740
54,d,OD,PC.VG.SR,3,26666.66667,2666666.667,128,648
54,e,OD,PC.VG.SR,3,26666.66667,2666666.667,58,772
54,f,OD,PC.VG.SR,3,26666.66667,2666666.667,48,844
55,a,AA,PC.VG.SR,3,26666.66667,2666666.667,3,360
55,b,AA,PC.VG.SR,3,26666.66667,2666666.667,10,622
55,c,AA,PC.VG.SR,3,26666.66667,2666666.667,6,788
55,d,AA,PC.VG.SR,3,26666.66667,2666666.667,68,796
55,e,AA,PC.VG.SR,3,26666.66667,2666666.667,68,972
55,f,AA,PC.VG.SR,3,26666.66667,2666666.667,52,626
56,a,AA,OD.PC.VG,3,26666.66667,2666666.667,6,428
56,b,AA,OD.PC.VG,3,26666.66667,2666666.667,2,430
56,c,AA,OD.PC.VG,3,26666.66667,2666666.667,8,410
56,d,AA,OD.PC.VG,3,26666.66667,2666666.667,8,380
56,e,AA,OD.PC.VG,3,26666.66667,2666666.667,20,466
56,f,AA,OD.PC.VG,3,26666.66667,2666666.667,8,332
57,a,AA,OD.PC.SR,3,26666.66667,2666666.667,144,280
57,b,AA,OD.PC.SR,3,26666.66667,2666666.667,108,280
57,c,AA,OD.PC.SR,3,26666.66667,2666666.667,84,804
57,d,AA,OD.PC.SR,3,26666.66667,2666666.667,248,692
57,e,AA,OD.PC.SR,3,26666.66667,2666666.667,150,760
57,f,AA,OD.PC.SR,3,26666.66667,2666666.667,184,400
58,a,AA,OD.VG.SR,3,26666.66667,2666666.667,46,556
58,b,AA,OD.VG.SR,3,26666.66667,2666666.667,86,432
58,c,AA,OD.VG.SR,3,26666.66667,2666666.667,34,702
58,d,AA,OD.VG.SR,3,26666.66667,2666666.667,112,498
58,e,AA,OD.VG.SR,3,26666.66667,2666666.667,112,614
58,f,AA,OD.VG.SR,3,26666.66667,2666666.667,44,636
59,a,PC,OD.VG.SR,3,26666.66667,2666666.667,18,502
59,b,PC,OD.VG.SR,3,26666.66667,2666666.667,30,606
59,c,PC,OD.VG.SR,3,26666.66667,2666666.667,20,594
59,d,PC,OD.VG.SR,3,26666.66667,2666666.667,38,416
59,e,PC,OD.VG.SR,3,26666.66667,2666666.667,16,540
59,f,PC,OD.VG.SR,3,26666.66667,2666666.667,66,868
60,a,PC,AA.VG.SR,3,26666.66667,2666666.667,268,1116
60,b,PC,AA.VG.SR,3,26666.66667,2666666.667,152,880
60,c,PC,AA.VG.SR,3,26666.66667,2666666.667,140,564
60,d,PC,AA.VG.SR,3,26666.66667,2666666.667,94,624
60,e,PC,AA.VG.SR,3,26666.66667,2666666.667,56,454
60,f,PC,AA.VG.SR,3,26666.66667,2666666.667,16,1168
61,a,PC,AA.OD.VG,3,26666.66667,2666666.667,56,582
61,b,PC,AA.OD.VG,3,26666.66667,2666666.667,22,344
61,c,PC,AA.OD.VG,3,26666.66667,2666666.667,68,240
61,d,PC,AA.OD.VG,3,26666.66667,2666666.667,76,442
61,e,PC,AA.OD.VG,3,26666.66667,2666666.667,74,410
61,f,PC,AA.OD.VG,3,26666.66667,2666666.667,22,766
62,a,PC,AA.OD.SR,3,26666.66667,2666666.667,80,944
62,b,PC,AA.OD.SR,3,26666.66667,2666666.667,76,908
62,c,PC,AA.OD.SR,3,26666.66667,2666666.667,24,958
62,d,PC,AA.OD.SR,3,26666.66667,2666666.667,50,754
62,e,PC,AA.OD.SR,3,26666.66667,2666666.667,34,702
62,f,PC,AA.OD.SR,3,26666.66667,2666666.667,26,452
63,a,VG,AA.OD.SR,3,26666.66667,2666666.667,28,604
63,b,VG,AA.OD.SR,3,26666.66667,2666666.667,92,652
63,c,VG,AA.OD.SR,3,26666.66667,2666666.667,12,934
63,d,VG,AA.OD.SR,3,26666.66667,2666666.667,98,512
63,e,VG,AA.OD.SR,3,26666.66667,2666666.667,30,570
63,f,VG,AA.OD.SR,3,26666.66667,2666666.667,80,706
64,a,VG,PC.OD.SR,3,26666.66667,2666666.667,74,573
64,b,VG,PC.OD.SR,3,26666.66667,2666666.667,55,547
64,c,VG,PC.OD.SR,3,26666.66667,2666666.667,64,494
64,d,VG,PC.OD.SR,3,26666.66667,2666666.667,62,398
64,e,VG,PC.OD.SR,3,26666.66667,2666666.667,59,415
64,f,VG,PC.OD.SR,3,26666.66667,2666666.667,85,367
65,a,VG,PC.AA.SR,3,26666.66667,2666666.667,22,896
65,b,VG,PC.AA.SR,3,26666.66667,2666666.667,48,556
65,c,VG,PC.AA.SR,3,26666.66667,2666666.667,22,506
65,d,VG,PC.AA.SR,3,26666.66667,2666666.667,32,826
65,e,VG,PC.AA.SR,3,26666.66667,2666666.667,22,674
65,f,VG,PC.AA.SR,3,26666.66667,2666666.667,8,556
66,a,VG,AA.PC.OD,3,26666.66667,2666666.667,53,285
66,b,VG,AA.PC.OD,3,26666.66667,2666666.667,82,328
66,c,VG,AA.PC.OD,3,26666.66667,2666666.667,68,298
66,d,VG,AA.PC.OD,3,26666.66667,2666666.667,107,315
66,e,VG,AA.PC.OD,3,26666.66667,2666666.667,126,360
66,f,VG,AA.PC.OD,3,26666.66667,2666666.667,152,320
67,a,SR,AA.PC.OD,3,26666.66667,2666666.667,300,386
67,b,SR,AA.PC.OD,3,26666.66667,2666666.667,596,238
67,c,SR,AA.PC.OD,3,26666.66667,2666666.667,304,392
67,d,SR,AA.PC.OD,3,26666.66667,2666666.667,402,286
67,e,SR,AA.PC.OD,3,26666.66667,2666666.667,348,257
67,f,SR,AA.PC.OD,3,26666.66667,2666666.667,398,372
68,a,SR,AA.VG.OD,3,26666.66667,2666666.667,258,478
68,b,SR,AA.VG.OD,3,26666.66667,2666666.667,312,628
68,c,SR,AA.VG.OD,3,26666.66667,2666666.667,8,684
68,d,SR,AA.VG.OD,3,26666.66667,2666666.667,6,384
68,e,SR,AA.VG.OD,3,26666.66667,2666666.667,78,484
68,f,SR,AA.VG.OD,3,26666.66667,2666666.667,8,628
69,a,SR,PC.VG.OD,3,26666.66667,2666666.667,524,226
69,b,SR,PC.VG.OD,3,26666.66667,2666666.667,248,234
69,c,SR,PC.VG.OD,3,26666.66667,2666666.667,174,282
69,d,SR,PC.VG.OD,3,26666.66667,2666666.667,426,256
69,e,SR,PC.VG.OD,3,26666.66667,2666666.667,184,336
69,f,SR,PC.VG.OD,3,26666.66667,2666666.667,276,190
70,a,SR,PC.VG.AA,3,26666.66667,2666666.667,352,253
70,b,SR,PC.VG.AA,3,26666.66667,2666666.667,470,247
70,c,SR,PC.VG.AA,3,26666.66667,2666666.667,463,185
70,d,SR,PC.VG.AA,3,26666.66667,2666666.667,339,245
70,e,SR,PC.VG.AA,3,26666.66667,2666666.667,542,111
70,f,SR,PC.VG.AA,3,26666.66667,2666666.667,374,134
t1,a,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,20,462
t1,b,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,68,484
t1,c,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,106,416
t1,d,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,24,584
t1,e,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,36,592
t1,f,PC,SR.AA.VG.OD,4,26666.66667,2666666.667,28,359
t2,a,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,20,262
t2,b,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,12,488
t2,c,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,28,404
t2,d,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,280,292
t2,e,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,24,488
t2,f,SR,PC.AA.VG.OD,4,26666.66667,2666666.667,9,444
t3,a,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,24,245
t3,b,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,6,558
t3,c,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,2,464
t3,d,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,38,318
t3,e,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,16,562
t3,f,AA,PC.SR.VG.OD,4,26666.66667,2666666.667,6,456
t4,a,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,82,292
t4,b,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,112,452
t4,c,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,6,256
t4,d,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,50,168
t4,e,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,50,352
t4,f,VG,PC.SR.AA.OD,4,26666.66667,2666666.667,2,378
t5,a,OD,PC.SR.AA.VG,4,26666.66667,2666666.667,146,404
t5,b,OD,PC.SR.AA.VG,4,26666.66667,2666666.667,96,380
t5,c,OD,PC.SR.AA.VG,4,26666.66667,2666666.667,82,454
t5,d,OD,PC.SR.AA.VG,4,26666.66667,2666666.667,138,353
t5,e,OD,PC.SR.AA.VG,4,26666.66667,2666666.667,204,357
t5,f,OD,PC.SR.AA.VG,4,26666.66667,2666666.667,96,438
